freq,amp1 (WS),amp2 (WR),dif,,
0.9451343225,597.8459964,836.2499018,238.4039054,,
0.8821253677,252.7015251,605.8952284,353.1937034,,
0.8191164128,362.541289,143.5078406,-219.0334484,,
0.756107458,448.0113174,905.3385276,457.3272102,,
0.6930985032,406.391502,1144.250422,737.8589197,,
0.6300895483,543.1670229,610.5567143,67.3896914,,
0.5670805935,1095.702046,1552.986958,457.2849116,,
0.5040716387,240.4377498,634.5516452,394.1138954,,
0.4410626838,333.6387169,678.8511524,345.2124355,,
0.378053729,1619.563396,1812.122423,192.5590269,,
0.3150447742,1467.367468,1861.891086,394.5236177,,
0.2520358193,1761.092002,1674.741668,-86.35033452,,
0.1890268645,3498.871377,3631.607441,132.7360639,,
0.1260179097,3027.773673,4243.589461,1215.815788,,
,,,,,what is the significance of this value?
